CustomerID,RecommendedCustomerID,SimilarityScore
C0001,C0019,0.8679555239222211
C0001,C0008,0.4637268672718809
C0001,C0017,0.31109693121574317
C0002,C0010,0.9991766593329813
C0002,C0009,0.992276274368926
C0002,C0014,0.9317142868801738
C0003,C0005,0.9992066449604785
C0003,C0015,0.9992034501062325
C0003,C0014,0.99894236647948
C0004,C0017,0.9905911926121526
C0004,C0013,0.948667277811073
C0004,C0008,0.94148623430245
C0005,C0015,0.9995191167553819
C0005,C0003,0.9992066449604785
C0005,C0014,0.9991758857376118
C0006,C0007,0.567688493663689
C0006,C0018,0.5221996613119009
C0006,C0020,0.45297692145883295
C0007,C0020,0.9910407974880823
C0007,C0005,0.9821385515779161
C0007,C0003,0.9764675208042204
C0008,C0017,0.9787409814411445
C0008,C0004,0.94148623430245
C0008,C0012,0.7889124631181477
C0009,C0002,0.992276274368926
C0009,C0010,0.9865227951823426
C0009,C0014,0.9694476505225039
C0010,C0002,0.9991766593329813
C0010,C0009,0.9865227951823426
C0010,C0014,0.9163213375651849
C0011,C0016,0.9924854245852199
C0011,C0018,0.9561952007398831
C0011,C0013,0.8581752149299747
C0012,C0013,0.9749404112379862
C0012,C0004,0.9361197170126839
C0012,C0017,0.8890529369923805
C0013,C0012,0.9749404112379862
C0013,C0004,0.948667277811073
C0013,C0017,0.8964687570886594
C0014,C0015,0.9999528423583536
C0014,C0005,0.9991758857376118
C0014,C0003,0.99894236647948
C0015,C0014,0.9999528423583536
C0015,C0005,0.9995191167553819
C0015,C0003,0.9992034501062325
C0016,C0011,0.9924854245852199
C0016,C0018,0.9848290707293998
C0016,C0013,0.8256455182671371
C0017,C0004,0.9905911926121526
C0017,C0008,0.9787409814411445
C0017,C0013,0.8964687570886594
C0018,C0016,0.9848290707293998
C0018,C0011,0.9561952007398831
C0018,C0013,0.758189530658259
C0019,C0001,0.8679555239222211
C0019,C0008,0.6102832150621782
C0019,C0017,0.4353712311679765
C0020,C0005,0.9983097174912438
C0020,C0015,0.9963186802911345
C0020,C0003,0.9956041823311028
